sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
and then been violently shattered with the greatest shock and pain by her fickle- ness and frivolities.,FORCE,"SPLITTING, FORCE, SCALE, OBJECT",The glass vase was violently shattered into pieces by the impact of the hammer.,7,7,
"A shaft of pain cut through the nebulous pattern,/ of blows and humiliations not yet dissolved",FORCE,"OBJECT, SOURCE_PATH_GOAL, FORCE, SPLITTING, SUBSTANCE","A sharp object cut through a foggy material, breaking it apart.",6,7,
Some shock shattered you and made you distrustful of a single love.,FORCE,"FORCE, SPLITTING, OBJECT, SCALE",The hammer shattered the glass and broke it into many pieces.,7,7,
his extended love was unequal to the power of what was dragging her down,FORCE,"FORCE, VERTICALITY, SCALE, LINK",The rope was too short to reach the bottom of the well,3,1,
about to be sucked in by a hidden cyclone.,FORCE,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",The leaf is about to be pulled into the center of a visible whirlpool.,7,7,
That coat pulled me into the store.,FORCE,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT",The magnet pulled the metal object towards itself.,7,7,
The smell of the cookies dragged me against my will to the cookie jar.,FORCE,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT",The rope dragged the box across the floor to the storage room.,7,7,
I was drawn to him.,FORCE,"FORCE, SOURCE_PATH_GOAL, LINK",The magnet drew the metal object towards it.,7,7,
They are attracted to each other.,FORCE,"FORCE, LINK, SOURCE_PATH_GOAL",The magnet pulls the metal object towards itself.,7,7,
"it does pull me in, it pulls me back in at certain points, and when I’m pulled in I can’t really pay as much attention to what’s happening.",FORCE,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT, CENTER-PERIPHERY","The magnet attracts the metal object, it attracts it again at certain points, and when the metal is attracted, it's difficult to observe other objects around it.",5,7,
"It drew me in again further, fascinated.",FORCE,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",The magnet pulled the metal object closer to its center.,7,7,
I was so wrapped up in the movie I forgot to pause on the man itself.,FORCE,"CONTAINMENT, COVERING, FORCE, OBJECT",The package was so tightly wrapped in paper I forgot to look at the label itself.,4,2,
and I get caught up in it.,FORCE,"CONTAINMENT, FORCE, LINK",The fish gets caught in the net.,7,5,original annotation?
it’s very gripping.,FORCE,"FORCE, CONTACT, OBJECT",The pliers are gripping the bolt tightly.,7,7,
that captured me in a way that some movies don’t. [22] it kind of sucks you in.,FORCE,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, OBJECT",The net caught the fish and pulled it into the boat.,7,7,
and that kind of further ties me in.,FORCE,"LINK, CONTAINMENT, FORCE",The rope further ties the package together.,7,7,
"being really, really hooked into the story.",FORCE,"LINK, FORCE, CONTAINMENT",The fish is firmly hooked on the fishing line.,7,7,
He is unbalanced.,FORCE,"VERTICALITY, SCALE, FORCE",The scale is unbalanced.,3,1,
She’s not on an even keel.,FORCE,"SUPPORT, SCALE, VERTICALITY",The boat is not balanced on the water.,6,3,original annotation?
They’re upset.,FORCE,"CONTAINMENT, FORCE, VERTICALITY",The water is turbulent.,7,6,
I’m a very stable individual.,FORCE,"SUPPORT, VERTICALITY, OBJECT",The building has a very stable foundation.,7,3,
She’s quite level-headed,FORCE,"SCALE, VERTICALITY, OBJECT",The shelf is quite level,3,2,
You have to weigh the pros and cons.,FORCE,"SCALE, FORCE, OBJECT",You have to measure the weight of two objects on a scale.,7,7,
The scale just tipped in favor of my voting yes.,FORCE,"SCALE, FORCE, VERTICALITY, SOURCE_PATH_GOAL",The balance scale tipped to one side when more weight was added.,7,7,
On the other hand. . .,FORCE,"PART-WHOLE, OBJECT, VERTICALITY",On the other side of the body. . .,6,2,
That's a lightweight issue.,FORCE,"SCALE, SUBSTANCE, OBJECT",That's a lightweight package.,7,7,
This is a substantial problem for us.,FORCE,"SUBSTANCE, OBJECT, FORCE",This is a large rock blocking our path.,7,3,original annotation?
"Before we draw any conclusions, we must weigh both sides of the issue.",FORCE,"SCALE, OBJECT, CONTAINMENT, PART-WHOLE","Before we place items in the basket, we must measure both halves of the object.",3,1,
He weighed the ideas in his mind.,FORCE,"SCALE, CONTAINMENT, OBJECT, SUBSTANCE",He measured the objects on the scale.,3,1,
You have to weigh up in your mind whether to pursue the matter or not.,FORCE,"SCALE, OBJECT, CONTAINMENT, SOURCE_PATH_GOAL",You have to weigh items on a scale to determine which is heavier.,7,7,
You have to weigh the costs of the new system against the benefit it will bring.,FORCE,"SCALE, FORCE, OBJECT, BALANCE",You have to compare the weight of two objects on a scale.,7,7,
"Before we draw any conclusions, we must weigh both sides of the issue.",FORCE,"SCALE, OBJECT, CONTAINMENT, PART-WHOLE","Before we place items in the basket, we must measure both halves of the object.",3,1,
Let’s try to get around this problem.,FORCE,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",Let's try to walk around this building.,7,1,original annotation?
Harry got over his divorce.,FORCE,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",Harry climbed over the fence.,7,7,
She’s trying to get around the regulations.,FORCE,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",She's trying to walk around the building.,7,1,original annotation?
He went through the trial.,FORCE,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE",He walked through the tunnel.,7,2,
We ran into a brick wall.,FORCE,"CONTACT, SOURCE_PATH_GOAL, FORCE, OBJECT",The car crashed into a concrete barrier.,7,7,
We’ve got him boxed into a corner.,FORCE,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, OBJECT",The toy is placed in a box in the corner of the room.,2,1,
We hit a roadblock.,FORCE,"CONTACT, FORCE, OBJECT, SOURCE_PATH_GOAL",The car hit a concrete barrier.,7,7,
We are at an impasse.,FORCE,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",We are at a blocked road.,7,3,original annotation?
I can't find my way around that.,FORCE,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",I can't find the correct path around the obstacle.,7,1,original annotation?
Debt is holding me back from reaching my goals.,FORCE,"FORCE, SOURCE_PATH_GOAL, LINK, CONTAINMENT",The rope is holding the boat back from reaching the shore.,7,7,
"The way of the lazy is overgrown with thorns, but the path of the upright is a level highway.",FORCE,"SOURCE_PATH_GOAL, VERTICALITY, FORCE, OBJECT, SCALE","The untended garden path is covered with weeds, while the maintained road is smooth and flat.",4,1,
"Thorns and snares are in the way of the perverse, the cautious will keep far from them.",FORCE,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT, FORCE","Obstacles and traps are on the path, careful travelers will avoid them.",3,1,
fear barrier,FORCE,"CONTAINMENT, OBJECT, FORCE",The concrete barrier blocks the road.,7,6,
barrier of fear,FORCE,"CONTAINMENT, FORCE, OBJECT",The wall blocks the path.,7,6,
fear is an obstacle,FORCE,"OBJECT, FORCE, SOURCE_PATH_GOAL",The rock is an obstacle on the path,7,6,
fear blocks him from achieving his goals,FORCE,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The wall blocks the path to the destination,7,6,
We are stuck on this problem.,FORCE,"CONTACT, FORCE, CONTAINMENT",The glue is stuck on the surface.,7,7,
I am drowning in work.,FORCE,"CONTAINMENT, SUBSTANCE, FORCE, VERTICALITY",I am submerged in water.,7,1,
I am tied up with work.,FORCE,"LINK, CONTAINMENT, FORCE",The rope is tied around the package.,,,
He is up to his neck in work.,FORCE,"CONTAINMENT, VERTICALITY, SCALE",The water level reaches up to his neck.,,,
"...allow courts to circumvent the First Amendment, slowly eroding the freedom of the press in a much more subtle manner than if they gagged the media directly.",FORCE,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE, CONTAINMENT","The river slowly erodes the riverbank, gradually changing its path around obstacles rather than directly breaking through them.",,,
The government should not muzzle the press.,FORCE,"CONTAINMENT, FORCE, COVERING",The owner should not put a muzzle on the dog.,,,
Our project has hit a roadblock.,FORCE,"CONTACT, FORCE, OBJECT, SOURCE_PATH_GOAL",The car has hit a concrete barrier.,,,
What's holding you back from pursuing your dreams?,FORCE,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",What's physically restraining you from moving forward?,,,
They faced some tough problems at the beginning of their marriage but got over them quickly.,FORCE,"SOURCE_PATH_GOAL, FORCE, OBJECT, VERTICALITY",They encountered some large obstacles on the path but climbed over them swiftly.,,,
We have a lot of hurdles to get over in our relationship.,FORCE,"SOURCE_PATH_GOAL, VERTICALITY, OBJECT, FORCE",The athletes have many hurdles to jump over on the track.,,,
Recently enacted policies provide cover for companies engaged in illicit activities.,FORCE,"COVERING, CONTAINMENT, SUPPORT, OBJECT",The umbrella provides cover for people standing underneath it.,,,
My life is going nowhere - I'm just spinning my wheels.,FORCE,"SOURCE_PATH_GOAL, FORCE, OBJECT, SCALE",The car is not moving forward - its wheels are spinning in place.,,,
Break out of your daily routine.,FORCE,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",Exit the enclosed space of your room.,,,
Workers of the world throw off your chains!,FORCE,"LINK, FORCE, SOURCE_PATH_GOAL, VERTICALITY",People remove heavy metal restraints from their bodies.,,,
All these rules and regulations are obstacles to innovation.,FORCE,"FORCE, OBJECT, SOURCE_PATH_GOAL, CONTAINMENT",The large rocks are obstacles on the hiking trail.,,,
saddle the American people with gun control,FORCE,"SUPPORT, FORCE, CONTAINMENT",The rider saddled the horse with equipment,,,
gun control trap,FORCE,"CONTAINMENT, FORCE, OBJECT",The mouse trap contains the captured rodent.,,,
Senate Republicans blocked legislation Wednesday that would have established a billion jobs program putting veterans back to work tending to the country's federal lands and bolstering local police and fire departments.,FORCE,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL, SUPPORT","The dam blocked the river's flow, preventing water from reaching the downstream farmlands and reducing the water supply for local communities.",,,
This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill.,FORCE,"CONTAINMENT, FORCE, OBJECT, SOURCE_PATH_GOAL, LINK","The volcano erupted when pressure built up, ejecting a stream of lava that blocked the path of the river.",,,
"Though politically the country is free, its people remain chained by poverty.",FORCE,"CONTAINMENT, LINK, FORCE, OBJECT","Though the prisoner is released from jail, his ankles remain chained by shackles.",,,
House Republicans blocked the Democrats' attempts to move forward with the healthcare bill.,FORCE,"FORCE, SOURCE_PATH_GOAL, OBJECT",The large boulder blocked the river's flow downstream.,,,
The Senator's filibuster halted the passage of the bill.,FORCE,"FORCE, SOURCE_PATH_GOAL, OBJECT",The barrier stopped the movement of the vehicle.,,,
Our relationship is losing steam.,FORCE,"SUBSTANCE, FORCE, CONTAINMENT, SCALE",The engine is losing steam pressure.,,,
He pushes me too hard.,FORCE,"FORCE, CONTACT, SOURCE_PATH_GOAL",He physically shoves me with excessive strength.,,,
She pushed me into doing it.,FORCE,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT",She pushed the box into the room.,,,
They dragged me into doing it.,FORCE,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT",They physically pulled me into the room.,,,
I am being pulled along by the current.,FORCE,"FORCE, SOURCE_PATH_GOAL, SUBSTANCE",The boat is being pulled along by the river's flow.,,,
She leaned on him to do it.,FORCE,"SUPPORT, FORCE, CONTACT",She leaned her body against the wall for physical support.,,,
She put the lean on him.,FORCE,"FORCE, CONTACT, SOURCE_PATH_GOAL",She leaned her body against him.,,,
He is a mover and a shaker.,FORCE,"FORCE, OBJECT, SOURCE_PATH_GOAL",He physically moves and shakes objects.,,,
He really throws his weight around.,FORCE,"FORCE, SOURCE_PATH_GOAL, OBJECT",He physically tosses a heavy object in different directions.,,,
"Bloomberg Goes to Washington to Push Gun Laws, but Senate Has Other Ideas",FORCE,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT, OBJECT","The politician travels to the capital to advocate for legislation, but lawmakers have different proposals",,,
Livingston County judge: Cuomo administration steamrolled lawmakers on gay marriage vote,FORCE,"FORCE, SOURCE_PATH_GOAL, OBJECT","A heavy steamroller flattened a road, crushing obstacles in its path",,,
Vanity finally drove me to have the operation.,FORCE,"FORCE, SOURCE_PATH_GOAL, OBJECT",The car finally drove me to the hospital for the operation.,,,
He turned all funny.,FORCE,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE",He rotated his body completely.,,,
He turned into a monster.,FORCE,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE, OBJECT",The caterpillar turned into a butterfly.,,,
"There was a remarkable turn-round from an $ 828,000 loss to a $ 175,000 surplus.",FORCE,"SOURCE_PATH_GOAL, SCALE, FORCE, OBJECT",The car made a U-turn from the south end of the street to the north end.,,,
She has gone mad over him.,FORCE,"SOURCE_PATH_GOAL, SCALE, FORCE",She has walked over the bridge.,,,
The friendship turned sour last summer.,FORCE,"SUBSTANCE, SOURCE_PATH_GOAL, SCALE",The milk turned sour last week.,,,
My father became fierce when he lost his temper.,FORCE,"SUBSTANCE, CONTAINMENT, FORCE, SCALE",The lion became fierce when it was threatened.,,,
He was growing anxious for her being again at Mansfield.,FORCE,"SCALE, SOURCE_PATH_GOAL, CONTAINMENT",The plant was growing taller in the garden at Mansfield.,,,
It is smooth sailing from here on in.,FORCE,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE",The boat is gliding smoothly across the calm water.,,,
